Nombre; apellido; DNI; email personal; teléfono de contacto;CVU/CBU;Inquilino
PATRICIA A ;SANDOVAL;232359550;SANDOVAL_PATRICIA A @email.com;1120639588;3622546757575540000000;1
 Mariela;NANIN;232475210;NANIN_ Mariela@email.com;1120639590;8899158762922760000000;1
OSNAGHI ANDREA; LORENA;232738140; LORENA_OSNAGHI ANDREA@email.com;1120639674;6793018414117640000000;1
 ALEJANDRA;PAULETTE;232850890;PAULETTE_ ALEJANDRA@email.com;1120639615;4532573105843790000000;0
LUCIANA VANESA ;FERNANDEZ LOPEZ;233038280;FERNANDEZ LOPEZ_LUCIANA VANESA @email.com;1120639675;8466841099794280000000;1
JAIME DANIEL ;MORENO;233329760;MORENO_JAIME DANIEL @email.com;1120639625;8672747146995710000000;0
Santiago; Latrecchiana;233424100; Latrecchiana_Santiago@email.com;1120639606;2281135864391360000000;1
PAMELA GABRIELA; MINO;233429380; MINO_PAMELA GABRIELA@email.com;1120639649;3154817750445590000000;1
SILVIO IVAN; MENES;233481990; MENES_SILVIO IVAN@email.com;1120639594;9064821306055800000000;1
ALEJANDRA GABRIELA ;SALEMME;233553600;SALEMME_ALEJANDRA GABRIELA @email.com;1120639650;2047835249457480000000;1
 SAMANTA L;GARCIA;233816799;GARCIA_ SAMANTA L@email.com;1120639564;1529399085474410000000;0
FLAVIA MIRIAM; GIRA;242455860; GIRA_FLAVIA MIRIAM@email.com;1120639651;5738542183850040000000;0
PAMELA E CARABAJAL; GONZALEZ;243067770; GONZALEZ_PAMELA E CARABAJAL@email.com;1120639652;8913811465076470000000;0
GRACIELA JUDITH ;SANCHEZ;243690280;SANCHEZ_GRACIELA JUDITH @email.com;1120639653;5468347189492110000000;0
 SILVIA VIVIANA;CARNERO;271696263;CARNERO_ SILVIA VIVIANA@email.com;1120639561;8552897590627620000000;0
ZURITA GLORIA R; SANCHEZ;271902620; SANCHEZ_ZURITA GLORIA R@email.com;1120639654;2129873779400220000000;1
GLADYS BEATRIZ ;PIZARRO;272293780;PIZARRO_GLADYS BEATRIZ @email.com;1120639676;9918705234345920000000;1
CARLA ELIANA ;BRAVO;272497690;BRAVO_CARLA ELIANA @email.com;1120639677;2567099084090720000000;0
 EMILSE VIRGINIA;ACHEGA;272506040;ACHEGA_ EMILSE VIRGINIA@email.com;1120639580;3542404477456310000000;0
ARACELLI MARIA A ;MERCADO;272563840;MERCADO_ARACELLI MARIA A @email.com;1120639618;8401655961961310000000;1
MALENA VIVIANA; ARIAS;272586980; ARIAS_MALENA VIVIANA@email.com;1120639678;5120658000397530000000;1
ELIANA SOLEDAD ;DIAZ;272704890;DIAZ_ELIANA SOLEDAD @email.com;1120639655;3354991467350240000000;1
MARIA EVA ;FERREYRA;272739810;FERREYRA_MARIA EVA @email.com;1120639656;4985434974457620000000;0
María Lorena ;Ojeda;272802800;Ojeda_María Lorena @email.com;1120639657;5930181715250340000000;0
VIRGINIA SOLEDAD;RODRIGUEZ;272877720;RODRIGUEZ_VIRGINIA SOLEDAD@email.com;1120639572;5782501953513740000000;0
 MARIANA SABRINA;PEREZ;272947010;PEREZ_ MARIANA SABRINA@email.com;1120639581;4738588789752250000000;0
PATRICIA NATALIA; TRINIDAD;272968240; TRINIDAD_PATRICIA NATALIA@email.com;1120639658;5103976690518920000000;0
 MARIA ESTER;ACUÑA;272970390;ACUÑA_ MARIA ESTER@email.com;1120639612;9748929398242090000000;0
 JESICA PAOLA;FERREYRA;272978950;FERREYRA_ JESICA PAOLA@email.com;1120639567;3253840470755770000000;0
SILVINA FERNANDA; YEGROS;272979170; YEGROS_SILVINA FERNANDA@email.com;1120639659;5465692922711630000000;1
RUTH ELIZABETH ;TOLOZA;272987150;TOLOZA_RUTH ELIZABETH @email.com;1120639626;3569167187044620000000;1
